"OTU","Sample","Abundance","diet","site","subject_id","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Genus_plot"
"1730","SRR8146969",0.000221725139314026,"omnivore","Turin","VOV39","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Eubacteriaceae","g__Eubacterium","Other"
"447020","SRR8146973",0.000211144595658099,"vegan","Turin","VOV114","k__","p__Actinomycetota","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","Other"
"2944193","SRR8146963",0.000210814531471054,"vegan","Turin","VOV56","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Simiaoa","Other"
"2749846","SRR8146963",0.000208274597356945,"vegan","Turin","VOV56","k__","p__Bacillota","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Amedibacillus","Other"
"872","SRR8146973",0.000207945435117825,"vegan","Turin","VOV114","k__","p__Thermodesulfobacteriota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio","Other"
"838","SRR8146969",0.000200141276194961,"omnivore","Turin","VOV39","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","Other"
"39948","SRR8146969",0.00019425476807158,"omnivore","Turin","VOV39","k__","p__Bacillota","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Dialister","Other"
"2944152","SRR8146973",0.000185551311335905,"vegan","Turin","VOV114","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Wujia","Other"
"244127","SRR8146974",0.000184989117129599,"vegan","Turin","VOV113","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Anaerotruncus","Other"
"1348911","SRR8146976",0.000184513419661012,"omnivore","Turin","VOV70","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter","Other"
"244127","SRR8146973",0.000182352150795631,"vegan","Turin","VOV114","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Anaerotruncus","Other"
"3393728","SRR8146973",0.000172754669174809,"vegan","Turin","VOV114","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Owariibacterium","Other"
"2719313","SRR8146963",0.000167635651531199,"vegan","Turin","VOV56","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Enterocloster","Other"
"2678885","SRR8146963",0.00016509571741709,"vegan","Turin","VOV56","k__","p__Bacillota","c__Erysipelotrichia","o__Erysipelotrichales","f__Coprobacillaceae","g__Faecalibacillus","Other"
"906","SRR8146963",0.00016509571741709,"vegan","Turin","VOV56","k__","p__Bacillota","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Megasphaera","Other"
"2946830","SRR8146973",0.000159958027013712,"vegan","Turin","VOV114","k__","p__Uroviricota","c__Caudoviricetes","o__Crassvirales","f__Suoliviridae","g__Birpovirus","Other"
"84111","SRR8146976",0.00015868154090847,"omnivore","Turin","VOV70","k__","p__Actinomycetota","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Eggerthella","Other"
"1578","SRR8146971",0.000156785936542701,"omnivore","Turin","VOV28","k__","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","Other"
"1649459","SRR8146976",0.00015499127251525,"omnivore","Turin","VOV70","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella","Other"
"2942994","SRR8146976",0.00015499127251525,"omnivore","Turin","VOV70","k__","p__Uroviricota","c__Caudoviricetes","o__Crassvirales","f__Suoliviridae","g__Buchavirus","Other"
"990721","SRR8146971",0.000154373845211275,"omnivore","Turin","VOV28","k__","p__Bacillota","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenella","Other"
"644652","SRR8146963",0.000152396046846545,"vegan","Turin","VOV56","k__","p__Actinomycetota","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Gordonibacter","Other"
"207244","SRR8146969",0.000143238364335609,"omnivore","Turin","VOV39","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","Other"
"1301","SRR8146973",0.000140763063772066,"vegan","Turin","VOV114","k__","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","Other"
"2569097","SRR8146963",0.000139696376275999,"vegan","Turin","VOV56","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerobutyricum","Other"
"158846","SRR8146973",0.000134364742691518,"vegan","Turin","VOV114","k__","p__Bacillota","c__Negativicutes","o__Selenomonadales","f__Selenomonadaceae","g__Megamonas","Other"
"39948","SRR8146973",0.000131165582151244,"vegan","Turin","VOV114","k__","p__Bacillota","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Dialister","Other"
"3393728","SRR8146963",0.000129536639819563,"vegan","Turin","VOV56","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Owariibacterium","Other"
"84111","SRR8146973",0.000127966421610969,"vegan","Turin","VOV114","k__","p__Actinomycetota","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Eggerthella","Other"
"28050","SRR8146976",0.000125469125369488,"omnivore","Turin","VOV70","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospira","Other"
"644652","SRR8146973",0.000124767261070695,"vegan","Turin","VOV114","k__","p__Actinomycetota","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Gordonibacter","Other"
"2742598","SRR8146971",0.000123016657902735,"omnivore","Turin","VOV28","k__","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus","Other"
"508459","SRR8146973",0.000121568100530421,"vegan","Turin","VOV114","k__","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Cloacibacillus","Other"
